iteration,cost
0,0.6903051203813223
1,0.6848694684598664
2,0.6802422007759712
3,0.676297465135734
4,0.6729285596594387
5,0.6700454596841403
6,0.6675724525462462
7,0.6654459798650735
8,0.6636127298539454
9,0.6620279865124128
10,0.660654222236239
11,0.6594599102803441
12,0.6584185297710006
13,0.6575077359194426
14,0.6567086700001977
15,0.656005386447663
16,0.6553843774633927
17,0.6548341784696138
18,0.6543450404225412
19,0.6539086573463697
20,0.6535179394571633
21,0.6531668239367452
22,0.6528501168248383
23,0.6525633606617443
24,0.6523027234713831
25,0.6520649054597184
26,0.6518470604463423
27,0.6516467295726985
28,0.6514617852603803
29,0.6512903837447848
30,0.6511309247975762
31,0.6509820174877742
32,0.6508424510254065
33,0.6507111698914142
34,0.6505872525891739
35,0.6504698934617634
36,0.6503583871091143
37,0.6502521150138469
38,0.6501505340466263
39,0.6500531665735445
40,0.6499595919311543
41,0.6498694390708357
42,0.6497823802043903
43,0.6496981253081228
44,0.649616417364014
45,0.6495370282345636
46,0.6494597550830754
47,0.6493844172639991
48,0.6493108536188198
49,0.649238920122237
50,0.6491684878312125
51,0.6490994410961627
52,0.6490316759992677
53,0.6489650989897408
54,0.64889962569006
55,0.6488351798507342
56,0.6487716924342299
57,0.6487091008113047
58,0.6486473480552576
59,0.6485863823215335
60,0.648526156301803
61,0.6484666267430697
62,0.6484077540236036
63,0.6483495017785763
64,0.6482918365691976
65,0.6482347275899584
66,0.6481781464092841
67,0.6481220667394995
68,0.6480664642325378
69,0.6480113162982718
70,0.6479566019427486
71,0.6479023016239456
72,0.6478483971229685
73,0.6477948714288697
74,0.6477417086354924
75,0.6476888938489418
76,0.6476364131044615
77,0.6475842532916352
78,0.6475324020869726
79,0.6474808478930492
80,0.6474295797834699
81,0.6473785874530137
82,0.6473278611723954
83,0.6472773917471453
84,0.6472271704801664
85,0.6471771891375812
86,0.6471274399175264
87,0.6470779154215892
88,0.6470286086286189
89,0.646979512870676
90,0.6469306218109043
91,0.6468819294231422
92,0.6468334299731042
93,0.6467851180009853
94,0.6467369883053541
95,0.6466890359282199
96,0.646641256141165
97,0.6465936444324486
98,0.6465461964950008
99,0.6464989082152262
100,0.6464517756625515
101,0.6464047950796585
102,0.6463579628733401
103,0.6463112756059373
104,0.6462647299873067
105,0.6462183228672819
106,0.6461720512285873
107,0.6461259121801755
108,0.6460799029509531
109,0.6460340208838725
110,0.6459882634303586
111,0.6459426281450517
112,0.6458971126808422
113,0.6458517147841811
114,0.6458064322906439
115,0.6457612631207361
116,0.6457162052759209
117,0.6456712568348595
118,0.6456264159498465
119,0.6455816808434325
120,0.6455370498052193
121,0.6454925211888211
122,0.6454480934089774
123,0.6454037649388149
124,0.6453595343072432
125,0.6453154000964831
126,0.6452713609397145
127,0.6452274155188414
128,0.6451835625623665
129,0.6451398008433675
130,0.6450961291775725
131,0.6450525464215273
132,0.6450090514708514
133,0.6449656432585749
134,0.6449223207535568
135,0.644879082958976
136,0.6448359289108937
137,0.6447928576768835
138,0.6447498683547251
139,0.6447069600711572
140,0.6446641319806906
141,0.6446213832644732
142,0.6445787131292096
143,0.6445361208061264
144,0.6444936055499898
145,0.6444511666381617
146,0.6444088033697031
147,0.6443665150645149
148,0.6443243010625198
149,0.6442821607228775
150,0.6442400934232372
151,0.6441980985590227
152,0.6441561755427477
153,0.6441143238033641
154,0.6440725427856353
155,0.6440308319495389
156,0.643989190769696
157,0.6439476187348223
158,0.6439061153472068
159,0.6438646801222095
160,0.6438233125877825
161,0.6437820122840106
162,0.6437407787626718
163,0.6436996115868167
164,0.6436585103303647
165,0.6436174745777181
166,0.6435765039233915
167,0.6435355979716574
168,0.6434947563362055
169,0.643453978639817
170,0.6434132645140518
171,0.6433726135989482
172,0.6433320255427357
173,0.6432915000015587
174,0.6432510366392109
175,0.6432106351268821
176,0.643170295142913
177,0.6431300163725611
178,0.6430897985077749
179,0.6430496412469792
180,0.643009544294865
181,0.6429695073621914
182,0.6429295301655923
183,0.6428896124273927
184,0.6428497538754309
185,0.6428099542428868
186,0.6427702132681189
187,0.6427305306945056
188,0.6426909062702924
189,0.6426513397484463
190,0.6426118308865145
191,0.6425723794464879
192,0.642532985194671
193,0.6424936479015553
194,0.6424543673416979
195,0.642415143293604
196,0.6423759755396151
197,0.6423368638657981
198,0.642297808061842
199,0.6422588079209554
200,0.6422198632397689
201,0.6421809738182411
202,0.6421421394595669
203,0.6421033599700893
204,0.6420646351592149
205,0.6420259648393313
206,0.6419873488257277
207,0.6419487869365184
208,0.6419102789925679
209,0.6418718248174203
210,0.6418334242372287
211,0.6417950770806884
212,0.6417567831789727
213,0.6417185423656685
214,0.6416803544767171
215,0.6416422193503537
216,0.6416041368270514
217,0.641566106749465
218,0.6415281289623787
219,0.6414902033126526
220,0.6414523296491731
221,0.6414145078228046
222,0.6413767376863413
223,0.6413390190944613
224,0.6413013519036831
225,0.6412637359723209
226,0.6412261711604441
227,0.6411886573298353
228,0.6411511943439516
229,0.6411137820678858
230,0.6410764203683295
231,0.641039109113536
232,0.6410018481732865
233,0.6409646374188548
234,0.640927476722974
235,0.6408903659598046
236,0.6408533050049035
237,0.6408162937351922
238,0.6407793320289278
239,0.6407424197656746
240,0.6407055568262744
241,0.6406687430928206
242,0.640631978448631
243,0.6405952627782212
244,0.6405585959672805
245,0.6405219779026461
246,0.6404854084722801
247,0.6404488875652452
248,0.6404124150716829
249,0.6403759908827902
250,0.6403396148907987
251,0.6403032869889541
252,0.6402670070714938
253,0.6402307750336288
254,0.6401945907715232
255,0.6401584541822748
256,0.6401223651638978
257,0.6400863236153028
258,0.640050329436281
259,0.640014382527486
260,0.6399784827904164
261,0.6399426301274006
262,0.6399068244415799
263,0.6398710656368928
264,0.6398353536180603
265,0.6397996882905702
266,0.6397640695606635
267,0.6397284973353183
268,0.6396929715222386
269,0.6396574920298381
270,0.6396220587672284
271,0.6395866716442058
272,0.6395513305712377
273,0.6395160354594515
274,0.6394807862206219
275,0.6394455827671585
276,0.6394104250120953
277,0.6393753128690787
278,0.6393402462523563
279,0.6393052250767663
280,0.6392702492577275
281,0.6392353187112276
282,0.6392004333538144
283,0.6391655931025847
284,0.6391307978751762
285,0.6390960475897564
286,0.6390613421650139
287,0.6390266815201499
288,0.6389920655748684
289,0.6389574942493684
290,0.6389229674643345
291,0.6388884851409293
292,0.638854047200785
293,0.6388196535659951
294,0.6387853041591075
295,0.6387509989031156
296,0.6387167377214522
297,0.6386825205379811
298,0.6386483472769903
299,0.6386142178631851
300,0.6385801322216809
301,0.6385460902779972
302,0.6385120919580504
303,0.638478137188147
304,0.6384442258949785
305,0.6384103580056137
306,0.6383765334474941
307,0.6383427521484266
308,0.6383090140365791
309,0.6382753190404737
310,0.6382416670889814
311,0.6382080581113169
312,0.6381744920370327
313,0.6381409687960147
314,0.6381074883184765
315,0.6380740505349543
316,0.6380406553763021
317,0.638007302773687
318,0.6379739926585841
319,0.6379407249627727
320,0.6379074996183304
321,0.6378743165576298
322,0.6378411757133335
323,0.6378080770183905
324,0.637775020406031
325,0.637742005809763
326,0.6377090331633682
327,0.6376761024008978
328,0.637643213456669
329,0.6376103662652605
330,0.6375775607615096
331,0.6375447968805085
332,0.6375120745575995
333,0.6374793937283731
334,0.6374467543286638
335,0.6374141562945467
336,0.6373815995623341
337,0.6373490840685725
338,0.6373166097500398
339,0.637284176543741
340,0.6372517843869064
341,0.6372194332169884
342,0.637187122971657
343,0.6371548535887998
344,0.6371226250065161
345,0.6370904371631165
346,0.6370582899971188
347,0.6370261834472462
348,0.6369941174524237
349,0.6369620919517764
350,0.6369301068846269
351,0.6368981621904921
352,0.6368662578090817
353,0.6368343936802954
354,0.6368025697442203
355,0.6367707859411293
356,0.6367390422114784
357,0.6367073384959041
358,0.636675674735222
359,0.636644050870425
360,0.6366124668426796
361,0.6365809225933255
362,0.6365494180638729
363,0.6365179531960005
364,0.6364865279315537
365,0.636455142212543
366,0.6364237959811413
367,0.6363924891796833
368,0.6363612217506625
369,0.6363299936367304
370,0.6362988047806942
371,0.6362676551255153
372,0.6362365446143079
373,0.6362054731903368
374,0.6361744407970162
375,0.6361434473779083
376,0.6361124928767211
377,0.6360815772373081
378,0.6360507004036652
379,0.6360198623199305
380,0.6359890629303825
381,0.6359583021794388
382,0.6359275800116543
383,0.6358968963717202
384,0.635866251204463
385,0.6358356444548425
386,0.635805076067951
387,0.6357745459890117
388,0.6357440541633781
389,0.6357136005365319
390,0.6356831850540829
391,0.6356528076617665
392,0.6356224683054439
393,0.6355921669311
394,0.6355619034848429
395,0.6355316779129024
396,0.6355014901616294
397,0.6354713401774942
398,0.6354412279070861
399,0.6354111532971123
400,0.6353811162943962
401,0.6353511168458776
402,0.6353211548986111
403,0.6352912303997648
404,0.6352613432966199
405,0.63523149353657
406,0.6352016810671196
407,0.6351719058358837
408,0.6351421677905863
409,0.6351124668790609
410,0.6350828030492479
411,0.6350531762491952
412,0.6350235864270568
413,0.6349940335310921
414,0.634964517509665
415,0.6349350383112432
416,0.6349055958843981
417,0.6348761901778027
418,0.6348468211402325
419,0.6348174887205631
420,0.6347881928677709
421,0.634758933530932
422,0.6347297106592212
423,0.6347005242019115
424,0.6346713741083736
425,0.6346422603280752
426,0.6346131828105805
427,0.6345841415055491
428,0.6345551363627359
429,0.6345261673319904
430,0.6344972343632558
431,0.634468337406569
432,0.6344394764120597
433,0.6344106513299492
434,0.6343818621105514
435,0.6343531087042709
436,0.6343243910616027
437,0.6342957091331324
438,0.6342670628695348
439,0.6342384522215739
440,0.6342098771401027
441,0.6341813375760614
442,0.6341528334804788
443,0.6341243648044702
444,0.6340959314992376
445,0.6340675335160697
446,0.6340391708063402
447,0.634010843321509
448,0.6339825510131205
449,0.6339542938328032
450,0.6339260717322703
451,0.633897884663318
452,0.6338697325778262
453,0.6338416154277572
454,0.6338135331651559
455,0.6337854857421495
456,0.6337574731109461
457,0.6337294952238357
458,0.6337015520331891
459,0.6336736434914573
460,0.6336457695511715
461,0.6336179301649429
462,0.633590125285462
463,0.6335623548654983
464,0.6335346188579003
465,0.6335069172155946
466,0.6334792498915861
467,0.6334516168389573
468,0.6334240180108682
469,0.6333964533605558
470,0.6333689228413342
471,0.6333414264065935
472,0.6333139640098002
473,0.633286535604497
474,0.6332591411443016
475,0.6332317805829074
476,0.6332044538740825
477,0.6331771609716702
478,0.6331499018295877
479,0.6331226764018267
480,0.6330954846424526
481,0.6330683265056046
482,0.6330412019454951
483,0.6330141109164095
484,0.6329870533727062
485,0.6329600292688162
486,0.6329330385592431
487,0.6329060811985618
488,0.6328791571414197
489,0.6328522663425356
490,0.6328254087566996
491,0.6327985843387728
492,0.6327717930436876
493,0.6327450348264468
494,0.6327183096421235
495,0.6326916174458613
496,0.6326649581928735
497,0.6326383318384432
498,0.6326117383379234
499,0.6325851776467359
500,0.6325586497203721
501,0.632532154514392
502,0.6325056919844247
503,0.6324792620861671
504,0.6324528647753852
505,0.6324265000079127
506,0.6324001677396512
507,0.63237386792657
508,0.6323476005247063
509,0.6323213654901642
